entity_type,Label,pedestrian_count
pedestriancount,Miracle Mile 100 Block,0
pedestriancount,MiracleMile-100Block East,0
pedestriancount,MiracleMile-Ponce_Pedestrians-Vehicles,0
pedestriancount,MiracleMile-100Block West,0
pedestriancount,Miracle_Mile-200Block,0
pedestriancount,LeJeune-MMile-Pedestrians_Vehicles,0
pedestriancount,Giralda-Ponce_Pedestrians-Vehicles,0
pedestriancount,Miracle_Mile-0Block_W-N,106
pedestriancount,Giralda-Ponce_Pedestrians-Vehicles,0
pedestriancount,Miracle_Mile-0Block_E-S,9
pedestriancount,Miracle_Mile-100Block,0
pedestriancount,Giralda-Galiano_Pedestrians_Vehicles,16
pedestriancount,FIRTZ AND FRANZ,12
pedestriancount,Lejeune-MMile_Pedestrians_Vehicles,0
pedestriancount,Miracle_Mile-200BlockEast,0
pedestriancount,Miracle_Mile-200BlockWest,0
pedestriancount,Ponce_Aragon,125
pedestriancount,Alhambra-Ponce,14
pedestriancount,MiracleMile-Ponce_Pedestrians-Vehicles,0
